Sample1,,Sample2,
Temperature (?C),Abs,Temperature (?C),Abs
16.52000046,0.5120190978,16.52000046,0.5897350907
16.02000046,0.5117200613,16.02000046,0.5896360874
15.52000046,0.5112769604,15.52000046,0.5889239907
15.02000046,0.5112844706,15.02000046,0.5882929564
14.52000046,0.5109966993,14.52000046,0.5879393816
13.97000027,0.5107458234,13.97000027,0.5876225829
13.47000027,0.5105550885,13.47000027,0.5871143341
12.97000027,0.5103806257,12.97000027,0.5864417553
12.47000027,0.5101400018,12.47000027,0.5863854289
11.97000027,0.5097165108,11.97000027,0.5856903791
11.47000027,0.5096242428,11.47000027,0.5852996707
10.97000027,0.5092158318,10.97000027,0.5851264
10.47000027,0.5089819431,10.47000027,0.5844740868
9.970000267,0.5084569454,9.970000267,0.5843972564
